,Yaş,Kilometre,Motor Hacmi,Motor Gücü,Ortalama Yakıt Tüketimi,Depo Hacmi,Fiyat,log_Fiyat,Ford,Opel,Renault,Skoda,Toyota,Volkswagen,Vites Tipi,Hasar Durumu
4005,11,120000.0,1364,90,4.8,55.0,800000,13.592367006650065,False,False,False,False,True,False,1.5,1
4006,2,13000.0,1490,125,5.8,50.0,1125000,13.933293593620657,False,False,False,False,True,False,2.0,1
4007,12,156800.0,1329,99,5.9,55.0,520000,13.16158409055761,False,False,False,False,True,False,1.0,0
4008,7,49000.0,1329,99,5.8,55.0,825000,13.623138665316818,False,False,False,False,True,False,1.0,1
4009,4,72000.0,1598,132,5.5,50.0,940000,13.753635154246187,False,False,False,False,True,False,1.5,0
4010,9,89990.0,998,69,4.3,42.0,590000,13.287877815881902,False,False,False,False,True,False,1.0,1
4011,13,157500.0,1329,101,5.1,42.0,560000,13.235692062711331,False,False,False,False,True,False,1.5,0
4012,12,207000.0,1364,90,5.0,55.0,605000,13.312983737012978,False,False,False,False,True,False,1.0,1
4013,11,180000.0,1598,124,7.0,55.0,700000,13.458835614025542,False,False,False,False,True,False,1.0,0
4014,8,103000.0,1364,90,4.1,55.0,750000,13.527828485512494,False,False,False,False,True,False,1.0,0
4015,8,93400.0,1598,132,6.1,55.0,895000,13.704578997256993,False,False,False,False,True,False,2.0,1
4016,7,90000.0,1364,90,4.1,55.0,865000,13.670484785914017,False,False,False,False,True,False,1.5,0
4017,12,167000.0,1364,90,4.7,55.0,650000,13.38472764187182,False,False,False,False,True,False,1.0,1
4018,11,173000.0,1364,90,4.8,55.0,632500,13.357435499583813,False,False,False,False,True,False,1.5,0
4019,8,61000.0,1329,99,5.5,50.0,700000,13.458835614025542,False,False,False,False,True,False,1.0,1
4020,4,48000.0,1598,132,5.5,50.0,1045000,13.85952744338105,False,False,False,False,True,False,1.5,1
4021,7,274000.0,1598,132,6.3,55.0,850000,13.652991628466498,False,False,False,False,True,False,1.0,0
4022,12,200000.0,1598,124,7.0,55.0,635000,13.36138027787483,False,False,False,False,True,False,1.0,1
4023,12,100700.0,1364,90,4.8,55.0,694999,13.451665685696973,False,False,False,False,True,False,1.0,0
4024,2,22300.0,1490,125,5.8,50.0,990000,13.805460222110773,False,False,False,False,True,False,2.0,1
4025,10,78000.0,1364,90,4.2,50.0,760000,13.541073712262515,False,False,False,False,True,False,1.5,1
4026,8,85000.0,1598,132,5.7,50.0,700000,13.458835614025542,False,False,False,False,True,False,2.0,0
4027,1,29700.0,1490,125,5.8,50.0,1000000,13.815510557964274,False,False,False,False,True,False,2.0,0
4028,11,153000.0,1598,132,6.6,60.0,560000,13.235692062711331,False,False,False,False,True,False,1.0,0
4029,11,244000.0,1364,90,4.8,55.0,685000,13.437174117244362,False,False,False,False,True,False,1.5,0
4030,10,139000.0,1329,99,5.8,55.0,674000,13.420985389894444,False,False,False,False,True,False,1.0,0
4031,10,69000.0,1364,90,4.1,55.0,860000,13.664687668229691,False,False,False,False,True,False,1.5,1
4032,12,260000.0,1364,90,4.8,55.0,597000,13.29967239237474,False,False,False,False,True,False,1.5,0
4033,7,210000.0,1329,99,5.8,55.0,600000,13.304684934198283,False,False,False,False,True,False,1.0,0
4034,13,193000.0,1364,90,4.8,55.0,610000,13.321214236149494,False,False,False,False,True,False,1.5,0
4035,5,55000.0,1598,132,6.3,55.0,840000,13.641157170819497,False,False,False,False,True,False,1.0,1
4036,12,110000.0,1364,90,4.8,55.0,700000,13.458835614025542,False,False,False,False,True,False,1.5,1
4037,8,122000.0,1598,132,6.1,50.0,835000,13.635187003832993,False,False,False,False,True,False,2.0,0
4038,6,72483.0,1329,99,5.8,55.0,745000,13.521139497361697,False,False,False,False,True,False,1.0,1
4039,8,100000.0,1329,99,5.8,55.0,755000,13.534473028231162,False,False,False,False,True,False,1.0,1
4040,2,24000.0,1490,125,5.8,50.0,1050000,13.864300722133706,False,False,False,False,True,False,2.0,1
4041,5,69000.0,1598,132,6.3,55.0,925000,13.737549016494562,False,False,False,False,True,False,1.0,1
4042,11,83300.0,1364,90,4.7,55.0,690000,13.444446876573442,False,False,False,False,True,False,1.0,0
4043,7,127500.0,1364,90,4.1,55.0,885000,13.693342923990066,False,False,False,False,True,False,1.0,1
4044,10,141000.0,1364,90,4.2,50.0,730000,13.500799813124575,False,False,False,False,True,False,1.0,0
4045,6,80000.0,1598,132,6.3,55.0,885000,13.693342923990066,False,False,False,False,True,False,1.0,0
4046,4,51000.0,1598,132,5.8,50.0,1040000,13.854731271117556,False,False,False,False,True,False,1.0,1
4047,7,55000.0,1598,132,6.1,55.0,915000,13.726679344257658,False,False,False,False,True,False,2.0,1
4048,13,320000.0,1364,90,4.7,55.0,510000,13.142166004700508,False,False,False,False,True,False,1.0,0
4049,4,44460.0,1598,132,5.8,50.0,1040000,13.854731271117556,False,False,False,False,True,False,1.0,1
